code,specific,generic
4212,咸宁,市
4213,随州,市
4228,恩施|土家族|苗族,自治州
4301,长沙,市
4302,株洲,市
4303,湘潭,市
4304,衡阳,市
4305,邵阳,市
4306,岳阳,市
4307,常德,市
4308,张家界,市
4309,益阳,市
4310,郴州,市
4311,永州,市
4312,怀化,市
4313,娄底,市
4331,湘西|土家族|苗族,自治州
4401,广州,市
4402,韶关,市
4403,深圳,市
4404,珠海,市
4405,汕头,市
4406,佛山,市
4407,江门,市
4408,湛江,市
4409,茂名,市
4412,肇庆,市
4413,惠州,市
4414,梅州,市
4415,汕尾,市
4416,河源,市
4417,阳江,市
4418,清远,市
4419,东莞,市
4420,中山,市
4451,潮州,市
4452,揭阳,市
4453,云浮,市
4501,南宁,市
4502,柳州,市
4503,桂林,市
4504,梧州,市
4505,北海,市
4506,防城港,市
4507,钦州,市
4508,贵港,市
4509,玉林,市
4510,百色,市
4511,贺州,市
4512,河池,市
4513,来宾,市
4514,崇左,市
4601,海口,市
4602,三亚,市
4603,三沙,市
4604,儋州,市
5101,成都,市
5103,自贡,市
5104,攀枝花,市
5105,泸州,市
5106,德阳,市
5107,绵阳,市
5108,广元,市
5109,遂宁,市
5110,内江,市
5111,乐山,市
5113,南充,市
5114,眉山,市
5115,宜宾,市
5116,广安,市
5117,达州,市
5118,雅安,市
5119,巴中,市
5120,资阳,市
5132,阿坝|藏族|羌族,自治州
5133,甘孜|藏族,自治州
5134,凉山|彝族,自治州
5201,贵阳,市
5202,六盘水,市
5203,遵义,市
5204,安顺,市
5205,毕节,市
5206,铜仁,市
5223,黔西南|布依族|苗族,自治州
5226,黔东南|苗族|侗族,自治州
5227,黔南|布依族|苗族,自治州
5301,昆明,市
5303,曲靖,市
5304,玉溪,市
5305,保山,市
5306,昭通,市
5307,丽江,市
5308,普洱,市
5309,临沧,市
5323,楚雄|彝族,自治州
5325,红河|哈尼族|彝族,自治州
5326,文山|壮族|苗族,自治州
5328,西双版纳|傣族,自治州
5329,大理|白族,自治州
5331,德宏|傣族|景颇族,自治州
5333,怒江|傈僳族,自治州
5334,迪庆|藏族,自治州
5401,拉萨,市
5402,日喀则,市
5403,昌都,市
5404,林芝,市
5405,山南,市
5406,那曲,市
5425,阿里,地区
6101,西安,市
6102,铜川,市
6103,宝鸡,市
6104,咸阳,市
6105,渭南,市
6106,延安,市
6107,汉中,市
6108,榆林,市
6109,安康,市
6110,商洛,市
6201,兰州,市
6202,嘉峪关,市
6203,金昌,市
6204,白银,市
6205,天水,市
6206,武威,市
6207,张掖,市
6208,平凉,市
6209,酒泉,市
6210,庆阳,市
6211,定西,市
6212,陇南,市
6229,临夏|回族,自治州
6230,甘南|藏族,自治州
6301,西宁,市
6302,海东,市
6322,海北|藏族,自治州
6323,黄南|藏族,自治州
6325,海南|藏族,自治州
6326,果洛|藏族,自治州
6327,玉树|藏族,自治州
6328,海西|蒙古族|藏族,自治州
6401,银川,市
6402,石嘴山,市
6403,吴忠,市
6404,固原,市
6405,中卫,市
6501,乌鲁木齐,市
6502,克拉玛依,市
6504,吐鲁番,市
6505,哈密,市
6523,昌吉|回族,自治州
6527,博尔塔拉|蒙古,自治州
6528,巴音郭楞|蒙古,自治州
6529,阿克苏,地区
6530,克孜勒苏|柯尔克孜,自治州
6531,喀什,地区
6532,和田,地区
6540,伊犁|哈萨克,自治州
6542,塔城,地区
6543,阿勒泰,地区
