code,short
440205,曲江
440222,始兴
440224,仁化
440229,翁源
440232,乳源
440233,新丰
440281,乐昌
440282,南雄
440303,罗湖
440304,福田
440305,南山
440306,宝安
440307,龙岗
440308,盐田
440309,龙华
440310,坪山
440311,光明
440402,香洲
440403,斗门
440404,金湾
440507,龙湖
440511,金平
440512,濠江
440513,潮阳
440514,潮南
440515,澄海
440523,南澳
440604,禅城
440605,南海
440606,顺德
440607,三水
440608,高明
440703,蓬江
440704,江海
440705,新会
440781,台山
440783,开平
440784,鹤山
440785,恩平
440802,赤坎
440803,霞山
440804,坡头
440811,麻章
440823,遂溪
440825,徐闻
440881,廉江
440882,雷州
440883,吴川
440902,茂南
440904,电白
440981,高州
440982,化州
440983,信宜
441202,端州
441203,鼎湖
441204,高要
441223,广宁
441224,怀集
441225,封开
441226,德庆
441284,四会
441302,惠城
441303,惠阳
441322,博罗
441323,惠东
441324,龙门
441402,梅江
441403,梅
441422,大埔
441423,丰顺
441424,五华
441426,平远
441427,蕉岭
441481,兴宁
441502,城
441521,海丰
441523,陆河
441581,陆丰
441602,源城
441621,紫金
441622,龙川
441623,连平
441624,和平
441625,东源
441702,江城
441704,阳东
441721,阳西
441781,阳春
441802,清城
441803,清新
441821,佛冈
441823,阳山
441825,连山
441826,连南
441881,英德
441882,连州
445102,湘桥
445103,潮安
445122,饶平
445202,榕城
445203,揭东
445222,揭西
445224,惠来
445281,普宁
445302,云城
445303,云安
445321,新兴
445322,郁南
445381,罗定
450102,兴宁
450103,青秀
450105,江南
450107,西乡塘
450108,良庆
450109,邕宁
450110,武鸣
450123,隆安
450124,马山
450125,上林
450126,宾阳
450181,横州
450202,城中
450203,鱼峰
450204,柳南
450205,柳北
450206,柳江
450222,柳城
450223,鹿寨
450224,融安
450225,融水
450226,三江
450302,秀峰
450303,叠彩
450304,象山
450305,七星
450311,雁山
450312,临桂
450321,阳朔
450323,灵川
450324,全州
450325,兴安
450326,永福
450327,灌阳
450328,龙胜
450329,资源
450330,平乐
450332,恭城
450381,荔浦
450403,万秀
450405,长洲
450406,龙圩
450421,苍梧
450422,藤
450423,蒙山
450481,岑溪
450502,海城
450503,银海
450512,铁山港
450521,合浦
450602,港口
450603,防城
450621,上思
450681,东兴
450702,钦南
450703,钦北
450721,灵山
450722,浦北
450802,港北
450803,港南
450804,覃塘
450821,平南
450881,桂平
450902,玉州
450903,福绵
450921,容
450922,陆川
450923,博白
450924,兴业
450981,北流
451002,右江
451003,田阳
451022,田东
451024,德保
451026,那坡
451027,凌云
451028,乐业
451029,田林
451030,西林
451031,隆林
451081,靖西
451082,平果
451102,八步
451103,平桂
451121,昭平
451122,钟山
451123,富川
451202,金城江
451203,宜州
451221,南丹
451222,天峨
451223,凤山
451224,东兰
451225,罗城
451226,环江
451227,巴马
451228,都安
451229,大化
451302,兴宾
451321,忻城
451322,象州
451323,武宣
451324,金秀
451381,合山
451402,江州
451421,扶绥
451422,宁明
451423,龙州
451424,大新
451425,天等
451481,凭祥
460105,秀英
460106,龙华
460107,琼山
460108,美兰
460202,海棠
460203,吉阳
460204,天涯
460205,崖州
460302,西沙
460303,南沙
469001,五指山
469002,琼海
469005,文昌
469006,万宁
469007,东方
469021,定安
469022,屯昌
469023,澄迈
469024,临高
469025,白沙
469026,昌江
469027,乐东
469028,陵水
469029,保亭
469030,琼中
500101,万州
500102,涪陵
500103,渝中
500104,大渡口
500106,沙坪坝
500107,九龙坡
500108,南岸
500109,北碚
500110,綦江
500111,大足
500113,巴南
500114,黔江
500115,长寿
500116,江津
500117,合川
500118,永川
500119,南川
500120,璧山
500151,铜梁
500152,潼南
500153,荣昌
500154,开州
500155,梁平
500156,武隆
500157,两江
500229,城口
500230,丰都
500231,垫江
500233,忠
500235,云阳
500236,奉节
500237,巫山
500238,巫溪
500240,石柱
500241,秀山
500242,酉阳
500243,彭水
510104,锦江
